epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4195.71,1.21379,0.92036,1.22556,0.80537,0.62103,0.69532,0.38693,1.7029,1.28483,1.53829,0.005842,0.005842,0.005842
44,4304.35,1.20313,0.91736,1.22278,0.85438,0.58983,0.69424,0.3827,1.71575,1.24689,1.52334,0.005743,0.005743,0.005743
45,4416.98,1.19411,0.90226,1.22007,0.84655,0.60873,0.69534,0.38822,1.70532,1.25911,1.51973,0.005644,0.005644,0.005644
46,4529.51,1.19151,0.89998,1.21666,0.81921,0.62827,0.71102,0.39336,1.7164,1.19878,1.52693,0.005545,0.005545,0.005545
47,4643.99,1.18505,0.89459,1.21185,0.82909,0.62854,0.71706,0.3968,1.71167,1.2074,1.52369,0.005446,0.005446,0.005446
48,4757.97,1.181,0.8902,1.21166,0.83128,0.62335,0.70949,0.39287,1.7182,1.24376,1.52818,0.005347,0.005347,0.005347
49,4871.98,1.17419,0.87631,1.20444,0.85938,0.60371,0.70804,0.38798,1.7295,1.24852,1.53376,0.005248,0.005248,0.005248
50,4986.34,1.14946,0.85863,1.19325,0.84693,0.62854,0.70686,0.39479,1.705,1.21884,1.51989,0.005149,0.005149,0.005149
51,5093.39,1.16629,0.86589,1.19546,0.84987,0.63442,0.71784,0.39464,1.71264,1.21367,1.52123,0.00505,0.00505,0.00505
52,5189.56,1.14744,0.85259,1.18927,0.85317,0.62912,0.72018,0.39959,1.70455,1.20595,1.51754,0.004951,0.004951,0.004951
53,5277.84,1.15051,0.84634,1.18382,0.85318,0.63113,0.70913,0.39689,1.70402,1.24887,1.51052,0.004852,0.004852,0.004852
54,5375.25,1.14594,0.84078,1.18583,0.87779,0.62392,0.7149,0.40175,1.68526,1.21132,1.50515,0.004753,0.004753,0.004753
55,5469.29,1.14813,0.84158,1.18734,0.85659,0.63951,0.72498,0.40418,1.7097,1.18188,1.51347,0.004654,0.004654,0.004654
56,5562.84,1.14082,0.82176,1.18232,0.87016,0.63258,0.72948,0.40619,1.70531,1.14811,1.51654,0.004555,0.004555,0.004555
57,5684.24,1.12576,0.81601,1.17605,0.85719,0.63027,0.72333,0.40406,1.69241,1.1621,1.50193,0.004456,0.004456,0.004456
58,5811.27,1.11737,0.81124,1.17231,0.85214,0.63778,0.7286,0.40698,1.68907,1.14048,1.5083,0.004357,0.004357,0.004357
59,5929.62,1.11503,0.80205,1.16653,0.84935,0.63839,0.72368,0.40414,1.68746,1.14414,1.50728,0.004258,0.004258,0.004258
60,6052.72,1.11007,0.799,1.16132,0.83963,0.65742,0.73539,0.4082,1.67898,1.15259,1.49945,0.004159,0.004159,0.004159
61,6178.96,1.11224,0.78955,1.15747,0.83927,0.65459,0.73088,0.40616,1.70326,1.13855,1.50615,0.00406,0.00406,0.00406
62,6316.17,1.10649,0.78584,1.16349,0.86354,0.65073,0.73575,0.4064,1.71607,1.13339,1.51814,0.003961,0.003961,0.003961
63,6451.14,1.09714,0.77485,1.15387,0.86814,0.64645,0.73191,0.40485,1.71538,1.1534,1.52098,0.003862,0.003862,0.003862
64,6548.75,1.1024,0.77821,1.14943,0.84351,0.64991,0.73331,0.40403,1.71115,1.14961,1.52046,0.003763,0.003763,0.003763
65,6639.99,1.07806,0.76741,1.14812,0.86698,0.64298,0.73732,0.40629,1.72134,1.1407,1.52681,0.003664,0.003664,0.003664
66,6733.74,1.07422,0.76228,1.14808,0.84482,0.65742,0.73316,0.40513,1.72021,1.14081,1.52702,0.003565,0.003565,0.003565
67,6836.57,1.07307,0.75167,1.13981,0.84194,0.65238,0.73127,0.40445,1.71022,1.15778,1.52436,0.003466,0.003466,0.003466
68,6928.26,1.06983,0.75198,1.13984,0.85217,0.64183,0.72956,0.40604,1.71036,1.15534,1.52355,0.003367,0.003367,0.003367
69,7028.28,1.06899,0.754,1.13755,0.85484,0.65049,0.73067,0.40866,1.70401,1.15002,1.52134,0.003268,0.003268,0.003268
70,7128.26,1.05781,0.74446,1.13417,0.85961,0.64529,0.73241,0.41084,1.69825,1.13275,1.51707,0.003169,0.003169,0.003169
71,7219.61,1.06168,0.7421,1.13446,0.86753,0.63836,0.73269,0.40779,1.69658,1.11654,1.51872,0.00307,0.00307,0.00307
72,7310.41,1.05173,0.72248,1.12487,0.86864,0.64298,0.73251,0.4103,1.69117,1.1277,1.51585,0.002971,0.002971,0.002971
73,7400.88,1.04937,0.72456,1.12972,0.86426,0.64356,0.73416,0.41013,1.69144,1.12484,1.51561,0.002872,0.002872,0.002872
74,7491.9,1.03511,0.71201,1.12289,0.86811,0.64471,0.73302,0.41187,1.68986,1.12971,1.51667,0.002773,0.002773,0.002773
75,7595.83,1.04309,0.71904,1.12178,0.87075,0.63441,0.72869,0.41035,1.69429,1.11788,1.51634,0.002674,0.002674,0.002674
76,7704.83,1.02336,0.70497,1.11631,0.86864,0.64942,0.73038,0.40995,1.69997,1.10302,1.51862,0.002575,0.002575,0.002575
77,7804.79,1.01987,0.69506,1.10957,0.86413,0.65338,0.73259,0.40722,1.7044,1.10483,1.52099,0.002476,0.002476,0.002476
78,7901.16,1.01031,0.68635,1.10694,0.84232,0.66378,0.73329,0.40746,1.70611,1.10765,1.52085,0.002377,0.002377,0.002377
79,8006.08,1.0171,0.69014,1.11024,0.84529,0.66493,0.73565,0.4065,1.70924,1.10498,1.52373,0.002278,0.002278,0.002278
80,8134.28,1.01187,0.68606,1.10741,0.85983,0.65858,0.73729,0.40774,1.70984,1.10194,1.52244,0.002179,0.002179,0.002179
81,8249.23,1.00835,0.67919,1.10781,0.84882,0.66169,0.73686,0.40492,1.71282,1.09982,1.52549,0.00208,0.00208,0.00208
82,8363.5,1.013,0.67696,1.10418,0.85799,0.6562,0.73639,0.4052,1.71328,1.09781,1.52761,0.001981,0.001981,0.001981
83,8477.29,0.99333,0.67052,1.09969,0.85536,0.65742,0.73636,0.40469,1.71606,1.09673,1.52843,0.001882,0.001882,0.001882
84,8596.12,1.0008,0.67421,1.09853,0.85361,0.66031,0.73814,0.40714,1.7187,1.09637,1.53135,0.001783,0.001783,0.001783
85,8718.79,0.97564,0.6532,1.08828,0.85421,0.65916,0.73816,0.40708,1.71892,1.09838,1.53159,0.001684,0.001684,0.001684
86,8834.03,0.98345,0.6515,1.09297,0.85087,0.6658,0.73956,0.40749,1.71997,1.09938,1.53088,0.001585,0.001585,0.001585
87,8960.75,0.98377,0.65256,1.09079,0.8576,0.65858,0.73988,0.40863,1.72038,1.10081,1.52845,0.001486,0.001486,0.001486
88,9082.86,0.97159,0.64581,1.08509,0.85919,0.65742,0.73968,0.40836,1.71973,1.10189,1.52851,0.001387,0.001387,0.001387
89,9199.95,0.97141,0.64028,1.08157,0.8701,0.65012,0.73879,0.40877,1.72202,1.10313,1.52987,0.001288,0.001288,0.001288
90,9303.4,0.96006,0.62903,1.08195,0.86804,0.64991,0.73673,0.40733,1.7246,1.10537,1.5323,0.001189,0.001189,0.001189
91,9411.62,0.94709,0.52509,1.06102,0.86772,0.64702,0.73655,0.40605,1.72721,1.10562,1.53447,0.00109,0.00109,0.00109
92,9503.67,0.93278,0.50883,1.05091,0.88435,0.64054,0.73471,0.40709,1.73075,1.10812,1.5371,0.000991,0.000991,0.000991
93,9595.6,0.92114,0.49847,1.04194,0.88196,0.64183,0.73505,0.40532,1.73367,1.10797,1.54035,0.000892,0.000892,0.000892
94,9691.86,0.91806,0.49167,1.04373,0.87516,0.6424,0.73477,0.40609,1.73486,1.10819,1.54191,0.000793,0.000793,0.000793
95,9783.3,0.90303,0.48342,1.04233,0.88648,0.63605,0.73525,0.40594,1.73492,1.10809,1.54322,0.000694,0.000694,0.000694
96,9874.38,0.90431,0.47953,1.03799,0.86881,0.64587,0.73505,0.40744,1.73535,1.10949,1.54301,0.000595,0.000595,0.000595
97,9971.29,0.8903,0.47205,1.02777,0.87174,0.64702,0.73343,0.40694,1.73697,1.10913,1.5453,0.000496,0.000496,0.000496
98,10068.9,0.88727,0.4677,1.02523,0.87183,0.64587,0.7335,0.40665,1.74007,1.10834,1.54812,0.000397,0.000397,0.000397
99,10164.4,0.88009,0.4627,1.02255,0.87384,0.64414,0.73207,0.40555,1.74187,1.10941,1.54993,0.000298,0.000298,0.000298
100,10256.4,0.88019,0.46042,1.0201,0.87761,0.64587,0.73113,0.40551,1.74275,1.11036,1.55153,0.000199,0.000199,0.000199
